file,reachable_from_app,status,importer_count,importer_kinds
components/family/FamilyCalendar.tsx,yes,reachable,2,"app,component"
components/family/FamilyMemberCard.tsx,yes,reachable,2,"app,component"
components/family/SpendingChart.tsx,yes,reachable,2,"app,component"
components/family/UpcomingSessionsList.tsx,yes,reachable,2,"app,component"
components/family/add-child-basic-step-sections.tsx,yes,reachable,1,"component"
components/family/add-child-basic-step.tsx,yes,reachable,2,"app,component"
components/family/add-child-emergency-step-sections.tsx,yes,reachable,1,"component"
components/family/add-child-emergency-step.tsx,yes,reachable,2,"app,component"
components/family/add-child-medical-step.tsx,yes,reachable,2,"app,component"
components/family/child-switcher.tsx,yes,reachable,7,"app,component,hook"
components/family/children-child-card.tsx,yes,reachable,1,"app"
components/family/children-recent-badges.tsx,yes,reachable,1,"app"
components/family/children-stats-row.tsx,yes,reachable,1,"app"
components/family/event-list-section.tsx,yes,reachable,1,"component"
components/family/family-calendar-sections.tsx,yes,reachable,1,"component"
components/family/family-quick-actions.tsx,yes,reachable,1,"app"
components/family/medical-special-needs-form-sections.tsx,yes,reachable,2,"app,component"
components/family/medical-special-needs-form.tsx,yes,reachable,1,"component"
components/family/medical-tag-list-form.tsx,yes,reachable,1,"component"
components/family/next-session-card.tsx,yes,reachable,1,"app"
components/family/recognition-summary-card.tsx,yes,reachable,1,"app"
components/family/schedule-conflict-banner.tsx,yes,reachable,2,"component"
components/family/sharing-guardians-section.tsx,yes,reachable,1,"app"
components/family/sharing-invite-modal.tsx,yes,reachable,1,"app"
components/family/sharing-pending-invites.tsx,yes,reachable,1,"app"
components/family/spending-chart-sections.tsx,yes,reachable,1,"component"
components/family/spending-comparison-card.tsx,yes,reachable,1,"app"
components/family/spending-transactions.tsx,yes,reachable,1,"app"
components/family/upcoming-sessions-sections.tsx,yes,reachable,1,"component"
components/favourites/FavouriteButton.tsx,yes,reachable,2,"component"
components/favourites/FavouriteCoachCard.tsx,yes,reachable,2,"app,component"
components/goals/CategoryBadge.tsx,yes,reachable,4,"component"
components/goals/GoalCard.tsx,yes,reachable,2,"component"
components/goals/GoalForm.tsx,yes,reachable,1,"component"
components/goals/GoalList.tsx,yes,reachable,1,"component"
components/goals/MilestoneList.tsx,yes,reachable,2,"component"
components/goals/ProgressRing.tsx,yes,reachable,3,"component"
components/goals/goal-actions-section.tsx,yes,reachable,1,"app"
components/goals/goal-card-sections.tsx,yes,reachable,1,"component"
components/goals/goal-celebration-modal.tsx,yes,reachable,1,"app"
components/goals/goal-hero-section.tsx,yes,reachable,1,"app"
components/goals/goal-list-sections.tsx,yes,reachable,1,"component"
components/goals/goal-meta-card.tsx,yes,reachable,1,"app"
components/goals/goal-milestones-section.tsx,yes,reachable,1,"component"
components/goals/goal-preview-card.tsx,yes,reachable,1,"component"
components/goals/milestone-list-sections.tsx,yes,reachable,1,"component"
components/group/child-selector.tsx,yes,reachable,1,"app"
components/group/deadline-badge.tsx,yes,reachable,3,"app,component"
components/group/family-registration-card.tsx,yes,reachable,1,"app"
components/group/group-session-card.tsx,yes,reachable,1,"app"
components/group/group-session-coach-actions.tsx,yes,reachable,1,"app"
components/group/group-session-details.tsx,yes,reachable,1,"app"
components/group/group-session-hero.tsx,yes,reachable,1,"app"
components/group/injury-report-modal.tsx,yes,reachable,1,"app"
components/group/participant-card.tsx,yes,reachable,2,"app,component"
components/group/quick-rate-modal.tsx,yes,reachable,1,"app"
components/group/roll-call-modal.tsx,yes,reachable,1,"app"
components/group/rsvp-mini-bar.tsx,yes,reachable,3,"app,component"
components/group/rsvp-summary-card.tsx,yes,reachable,1,"app"
components/group/session-child-badge.tsx,yes,reachable,1,"component"
components/group/session-status-banner.tsx,yes,reachable,1,"app"
components/group/waitlist-banner.tsx,yes,reachable,2,"app,component"
components/group/whos-going-card.tsx,yes,reachable,1,"app"
components/haptic-tab.tsx,yes,reachable,1,"app"
components/health/BodyPartSelector.tsx,yes,reachable,2,"component"
components/health/InjuryCard.tsx,yes,reachable,1,"component"
components/health/InjuryForm.tsx,yes,reachable,1,"component"
components/health/RecoveryTimeline.tsx,yes,reachable,1,"component"
components/health/SeverityPicker.tsx,yes,reachable,2,"component"
components/health/add-recovery-note.tsx,yes,reachable,1,"app"
components/health/body-part-selector-sections-main.tsx,yes,reachable,1,"component"
components/health/body-part-selector-sections.tsx,yes,reachable,1,"component"
components/health/health-stats-card.tsx,no,unreferenced,0,""
components/health/health-status-card.tsx,yes,reachable,1,"app"
components/health/injury-card-sections.tsx,yes,reachable,1,"component"
components/health/injury-details-sections.tsx,yes,reachable,1,"component"
components/health/injury-details-step.tsx,yes,reachable,1,"component"
components/health/injury-step-indicator.tsx,yes,reachable,1,"component"
components/health/injury-summary-card.tsx,yes,reachable,1,"app"
components/health/recovery-timeline-sections.tsx,yes,reachable,1,"component"
components/health/severity-picker-sections.tsx,yes,reachable,1,"component"
components/invite/attendee-list-modal-sections.tsx,yes,reachable,1,"component"
components/invite/attendee-list-modal.tsx,yes,reachable,2,"app,component"
components/invite/avatar-stack.tsx,yes,reachable,4,"app,component"
components/invite/cover-image-hero.tsx,yes,reachable,4,"app,component"
components/invite/invite-action-bar.tsx,yes,reachable,2,"app,component"
components/invite/invite-card.tsx,yes,reachable,1,"app"
components/invite/invite-child-header.tsx,yes,reachable,2,"app,component"
components/invite/invite-details-card.tsx,yes,reachable,2,"app,component"
components/invite/invite-filter-bar.tsx,yes,reachable,2,"app,component"
components/invite/invite-list-card.tsx,yes,reachable,2,"app,component"
